entreprise,localite,telephone,email,categorie,signal_alerte,source_url,requete
Centre de Santé Médico Dentaire Paris Alésia,Paris,+33 1 88 61 70 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet dentaire, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://nobelsanteplus.fr/nos-centres/centre-dentaire-paris-14-alesia/,overpass:cabinet dentaire:Paris
Prébay Immobilier,Paris,+33 1 40 71 90 36,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/1640452951,overpass:agence immobilière:Paris
Century 21,Lyon,+33 4 78 37 77 17,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.century21-pi-immobilier-lyon.com,overpass:agence immobilière:Lyon
ERA Immobilier,Lyon,+33 4 37 91 19 65,mentions-legales@erafrance.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.era-lacassagne.com,overpass:agence immobilière:Lyon
Petrucci Convert,Lyon,+33 4 78 22 32 72,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2630265225,overpass:agence immobilière:Lyon
Parapluie mutuelle & prévoyance,Lyon,+33 7 49 99 78 22,conseil@parapluie-mutuelle-prevoyance.fr,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://parapluie-mutuelle-prevoyance.fr,overpass:cabinet d'assurance:Lyon
SUD Architectes,Lyon,+33 4 78 64 07 07,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'architecture, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.sudarchitectes.com/,overpass:cabinet d'architecture:Lyon
Foncia,Lyon,+33 4 37 28 37 20,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/3670394292,overpass:agence immobilière:Lyon
Immobilière de l'Est,Lyon,+33 4 78 78 15 60,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://immobilieredelest.fr/,overpass:agence immobilière:Lyon
Agence des Pentes,Lyon,+33 9 50 33 79 31,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.agencedespentes.fr/,overpass:agence immobilière:Lyon
Guy Hoquet,Lyon,+33 4 37 56 78 07,lyon3@guyhoquet.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5039727652,overpass:agence immobilière:Lyon
Maif,Lyon,+33 4 72 10 24 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://agence.maif.fr/assurance/particuliers/maif-assurances-lyon-quais-de-saone-id6910,overpass:cabinet d'assurance:Lyon
Maif Lyon Gerland,Lyon,+33 9 78 97 98 99,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5331329522,overpass:cabinet d'assurance:Lyon
Century 21,Lyon,+33 4 72 10 22 44,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.century21-montchat-lyon.com/,overpass:agence immobilière:Lyon
CME Assurances,Marseille,+33 4 91 92 87 07,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2019803234,overpass:cabinet d'assurance:Marseille
Centre Médico-Dentaire de la Jolie,Marseille,+33 4 84 89 60 13,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet dentaire, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2120985263,overpass:cabinet dentaire:Marseille
Laforêt,Marseille,+33 4 91 22 28 28,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/3882253211,overpass:agence immobilière:Marseille
Assurances AAMII,Marseille,+33 4 91 75 63 86,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/4290912676,overpass:cabinet d'assurance:Marseille
Eric Néron,Marseille,+33 4 91 79 44 44,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'expertise comptable, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/4309482279,overpass:cabinet d'expertise comptable:Marseille
Docteur Anne-Christine Hullin,Marseille,+33 4 91 37 82 44,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet dentaire, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",http://dr-hullin-anne-christine.chirurgiens-dentistes.fr/,overpass:cabinet dentaire:Marseille
Sergic Marseille,Marseille,+33 4 65 07 07 07,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/4905454421,overpass:agence immobilière:Marseille
Allianz,Marseille,+33 4 91 87 02 90,rouvier.marseille@allianz.fr,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://agence.allianz.fr/marseille-republique-13001-H98499,overpass:cabinet d'assurance:Marseille
Maif Marseille Pont De Vivaux,Marseille,+33 4 91 29 68 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5318190724,overpass:cabinet d'assurance:Marseille
Maif Associations Collectivités Marseille,Marseille,+33 9 78 97 98 99,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5318213421,overpass:cabinet d'assurance:Marseille
Imrep,Marseille,+33 4 88 60 55 55,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://imrep.fr/,overpass:agence immobilière:Marseille
Orpi Horizon Calanques Immobilier Marseille 9Eme,Marseille,+33 4 65 57 00 47,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/6235592687,overpass:agence immobilière:Marseille
Cabinet dentaire Lafourcade,Toulouse,+33 5 61 53 77 35,cabinetlafourcade@gmail.com,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet dentaire, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",http://www.drmayo.fr/,overpass:cabinet dentaire:Toulouse
Immo9 Gestion,Toulouse,+33 5 62 19 14 35,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.toulouseimmo9.com/agence-gestion-locative-toulouse,overpass:agence immobilière:Toulouse
AGN Avocats,Toulouse,+33 5 62 27 01 09,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/1544881673,overpass:cabinet d'avocats:Toulouse
Guy Hoquet Immobilier,Toulouse,+33 5 61 62 85 85,toulouse-minimes@guyhoquet.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.guy-hoquet.com/,overpass:agence immobilière:Toulouse
Human Immobilier,Toulouse,+33 5 61 14 61 99,cil@human-immobilier.fr,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.human-immobilier.fr/toulouse-st-agne,overpass:agence immobilière:Toulouse
Maif Toulouse Alsace Lorraine,Toulouse,+33 5 62 15 40 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2283236431,overpass:cabinet d'assurance:Toulouse
Immobilère Falguière,Toulouse,+33 5 62 73 71 00,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2444345512,overpass:agence immobilière:Toulouse
Agence du Taur,Toulouse,+33 5 61 21 63 85,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.agenceimmodutaur.com/,overpass:agence immobilière:Toulouse
PAP,Toulouse,+33 5 62 26 73 37,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2447719439,overpass:agence immobilière:Toulouse
Mutuelle Nationale Territoriale,Toulouse,+33 9 72 72 02 02,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",http://www.mnt.fr/,overpass:cabinet d'assurance:Toulouse
Cabinet Bedin,Toulouse,+33 5 61 28 37 37,fichiers@cabinet-bedin.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.cabinet-bedin.com/agence-immobiliere/toulouse-les-carmes,overpass:agence immobilière:Toulouse
W-Architectures,Toulouse,+33 5 34 31 59 00,office@w-architectures.com,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'architecture, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.w-architectures.com,overpass:cabinet d'architecture:Toulouse
Maif,Bordeaux,+33 5 56 33 89 33,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://maif.fr/3320,overpass:cabinet d'assurance:Bordeaux
fabriqA,Bordeaux,+33 5 35 38 26 38,contact@fabriqa.fr,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'architecture, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.fabriqa.fr/,overpass:cabinet d'architecture:Bordeaux
Centre de Santé Dentaire Vital Carles,Bordeaux,+33 5 56 44 93 78,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet dentaire, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.pavillon-mutualite.com/27-services-et-soins/30-centre-de-sante-vital-carles.html,overpass:cabinet dentaire:Bordeaux
ev avocat,Bordeaux,+33 5 35 54 46 14,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://ev-avocatbordeaux.fr,overpass:cabinet d'avocats:Bordeaux
Orthodontiste,Bordeaux,+33 5 57 22 46 55,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet dentaire, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2773781158,overpass:cabinet dentaire:Bordeaux
Les Templitudes De Bordeaux Résidence Services Sen,Bordeaux,+33 1 72 87 16 71,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.seniorsappart.com/,overpass:agence immobilière:Bordeaux
Sergic Bordeaux,Bordeaux,+33 5 33 09 30 93,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5245320573,overpass:agence immobilière:Bordeaux
Hestia,Bordeaux,+33 5 56 95 55 70,cauderan@cabinethestia.immo,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5582315600,overpass:agence immobilière:Bordeaux
L'adresse Bordeaux,Bordeaux,+33 5 56 79 17 84,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5853820297,overpass:agence immobilière:Bordeaux
EY,Bordeaux,+33 5 57 85 46 00,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.ey.com/en_us/locations/france#bordeaux-bordeaux,overpass:cabinet d'avocats:Bordeaux
Mutuelle Entrain,Bordeaux,+33 8 09 40 54 54,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.mutuelle-entrain.fr/,overpass:cabinet d'assurance:Bordeaux
Castagnon Avocats,Bordeaux,+33 5 56 81 03 31,contact@castagnonavocats.com,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'avocats, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.castagnonavocats.com/,overpass:cabinet d'avocats:Bordeaux
Jbg Immobilier,Lille,+33 3 20 88 24 20,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.jbgimmo.fr/,overpass:agence immobilière:Lille
MAE du nord,Lille,+33 2 32 83 60 59,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2096356687,overpass:cabinet d'assurance:Lille
Abrinor Immobilier,Lille,+33 3 20 57 92 22,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.abrinor.fr/abrinor-lille,overpass:agence immobilière:Lille
Estime,Lille,+33 3 28 36 29 29,estime@estime-immo.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",http://www.estime-immo.com,overpass:agence immobilière:Lille
JLW Immobilier,Lille,+33 3 20 51 50 51,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2995433305,overpass:agence immobilière:Lille
Promogim - Nord,Lille,+33 3 20 06 26 25,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.promogim.fr/,overpass:agence immobilière:Lille
Sergic Lille Nationale,Lille,+33 3 20 42 31 13,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.sergic.com/agence-immobiliere/lille-59000/,overpass:agence immobilière:Lille
Cabinet Choquet,Lille,+33 3 20 57 97 55,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.cabinet-choquet.com/,overpass:agence immobilière:Lille
Maif Lille,Lille,+33 3 20 18 36 90,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5327094221,overpass:cabinet d'assurance:Lille
Maif Associations Collectivités Lille,Lille,+33 9 78 97 98 99,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/5327097521,overpass:cabinet d'assurance:Lille
MMA,Lille,+33 3 20 57 76 06,agence.lille@mma.fr,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://agence.mma.fr/lille-place-strasbourg-massena/,overpass:cabinet d'assurance:Lille
Descampiaux Dudicourt & Associés,Lille,+33 3 20 14 52 00,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://descampiaux-dudicourt.fr/,overpass:agence immobilière:Lille
Kermarrec Habitation,Nantes,+33 2 52 48 00 00,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.kermarrec-habitation.fr/nos-agences/agence-de-nantes-talensac/,overpass:agence immobilière:Nantes
Groupama,Nantes,+33 2 40 05 17 27,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://agences.groupama.fr/assurance/loire-bretagne/agence-groupama-nantes-republique-idLBR44200,overpass:cabinet d'assurance:Nantes
Axiome Immobilier,Nantes,+33 2 40 89 61 61,contact@axiome-immobilier.fr,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",http://www.axiome-immobilier.fr,overpass:agence immobilière:Nantes
Cabinet Pichelin,Nantes,+33 2 55 59 99 11,toutesaides@pichelin-immobilier.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/1619037395,overpass:agence immobilière:Nantes
Blot immobilier,Nantes,+33 2 51 81 09 09,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.blot-immobilier.fr/nos-agences/immobilier/agence-immobiliere-nantes-dalby/,overpass:agence immobilière:Nantes
Imméa,Nantes,+33 2 40 50 00 00,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.immea.fr/,overpass:agence immobilière:Nantes
Vivre Ici,Nantes,+33 2 51 86 09 60,contact@vivreici.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.dechampsavin.net/,overpass:agence immobilière:Nantes
GMF,Nantes,+33 9 70 80 98 09,,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'assurance, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.gmf.fr/agences-gmf/assurance-nantes-rond-point-de-paris?codeAppelant=EP,overpass:cabinet d'assurance:Nantes
AJP Immobilier,Nantes,+33 2 40 37 03 72,saintdonatien@ajp-immobilier.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://www.ajp-immobilier.com/agence-immobiliere/nantes-44000/ajp-immobilier-nantes-saint-donatien/000020.htm,overpass:agence immobilière:Nantes
Bréville Immobilier,Nantes,+33 2 40 20 26 26,cabourg@breville-immobilier.com,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",http://www.breville-immobilier.com,overpass:agence immobilière:Nantes
CISN,Nantes,+33 2 51 82 42 42,nantesdecre@groupecisn.fr,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://cisn-immobilier.fr/agence/cisn-nantes-decre,overpass:agence immobilière:Nantes
Eiffage Immobilier,Nantes,+33 8 00 73 47 34,,Profession solvable — site web à créer/refondre,"Profession solvable (agence immobilière, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Aucun site web référencé sur OpenStreetMap → besoin probable de création de site, closing direct.",https://www.openstreetmap.org/node/2844603294,overpass:agence immobilière:Nantes
Toa Architecture,Strasbourg,+33 1 42 87 59 13,toa67@toa-archi.fr,Profession solvable — site web à créer/refondre,"Profession solvable (cabinet d'architecture, clientèle aisée et budget propre) — décideur unique, cycle de vente court. Site existant à moderniser (refonte/SEO) → upsell facile.",https://toa-archi.com/,overpass:cabinet d'architecture:Strasbourg
